,id,year,debt,threat,rec1,rec2,rd_ratio,se,log_assets,mkt_share,mkt_growth
9486,365.0,7.0,0.0,7.1334,0,0,0.09444798978940651,-0.009461315428048222,2.5730701406173053,0.0015778733461304533,0.016714000452772063
9497,437.0,8.0,0.0,14.7161,1,0,0.4859461307773727,-0.11234672149400986,4.261975403606051,0.014224900749824416,0.20380480746088595
9502,378.0,8.0,2.109,4.5731001,1,0,0.2809477455833316,-0.3394867182244352,3.6311708889685064,0.040386974179923096,0.20380480746088595
9504,365.0,8.0,0.0,4.9268999,1,0,0.14369158878504673,-0.011461051062243757,2.3732299325633774,0.000716012880268711,0.20380480746088595
9514,270.0,8.0,0.057,7.9625001,1,0,0.06365074798619103,-0.06669777933341112,3.2469967005848552,0.023260381044991025,0.20380480746088595
9515,12.0,8.0,0.25,1.0,1,0,0.11263810967394233,-0.13632494022479566,2.46334247187216,0.012416466348958816,0.20380480746088595
9517,248.0,8.0,0.925,6.0253,1,0,0.07225343437065909,-0.07711715687419694,3.756654918194449,0.04034515099766441,0.20380480746088595
9526,378.0,9.0,0.77,3.8081,0,0,0.16697189923235786,-0.22169452606435297,3.5719242007512344,0.033725207461672256,0.2730042684237936
9531,12.0,9.0,0.211,1.0632,0,0,0.14677940338210146,-0.15088282493980737,2.2993799620450974,0.006916407546692946,0.2730042684237936
9543,437.0,9.0,0.0,11.3189,0,0,0.39037875117558213,-0.12549691887133393,4.6813438802109335,0.023056225005311494,0.2730042684237936
9545,270.0,9.0,0.0,8.6655998,0,0,0.0638858241093355,-0.07035576438999833,3.1711970428847325,0.018461932627724845,0.2730042684237936
9548,457.0,9.0,0.0,4.3069,0,0,0.5202867489468628,-0.14860752965446106,3.6579046498145056,0.008890928226705515,0.2730042684237936
9551,162.0,9.0,0.0,1.0915,0,0,0.04751457991281209,-0.07499882682089623,3.7503037561009354,0.046423905186105834,0.2730042684237936
9554,270.0,10.0,0.0,8.8015003,0,0,0.06426495389142058,-0.0656007975615367,3.26124542123471,0.01609320028535475,0.13787925466332168
9555,457.0,10.0,0.0,6.1957002,0,0,1.4525631025248662,-0.17830235225179977,3.1735436748700594,0.0030189547917698744,0.13787925466332168
9556,437.0,10.0,0.0,13.5708,0,0,0.5755160142348754,-0.23936538232136467,4.428790938649766,0.020283241595431684,0.13787925466332168
9574,248.0,10.0,0.223,5.7712998,0,0,0.10081885100298948,-0.13398045659700755,3.476552195233576,0.02665665476237202,0.13787925466332168
9575,378.0,10.0,1.746,2.1942999,0,0,0.10366628090317642,-0.15487453131427395,3.6608914175737675,0.037722498426237004,0.13787925466332168
9578,378.0,11.0,1.466,1.6674,0,0,0.09779734233502238,-0.15256688074579075,3.656459562857825,0.03168620624419687,0.23362089262697497
9595,270.0,11.0,0.0,8.2320995,0,0,0.06612308689639278,-0.0664083812579454,3.4976584141329488,0.016246839998280197,0.23362089262697497
9596,437.0,11.0,0.0,18.817499,0,0,0.45663345870058275,-0.2039246952574456,4.3536785991583935,0.016304416387579165,0.23362089262697497
9598,437.0,12.0,10.0,18.3883,0,0,0.5025930646508152,-0.17819182191759408,4.851655193589534,0.021863963892643293,-0.025730570069213456
9606,270.0,12.0,0.0,11.8645,0,0,0.07967694390447097,-0.08456479948420374,3.6577757090626024,0.020761781033905465,-0.025730570069213456
9615,378.0,12.0,2.703,2.1521001,0,0,0.05399138931693478,-0.09232275201174424,3.6050629680208255,0.03336193163128977,-0.025730570069213456
9624,378.0,13.0,1.927,1.7043999,0,0,0.046402877697841724,-0.07897129523314717,3.6505283627300127,0.034328938562985974,0.05052991428779367
9639,270.0,13.0,0.0,14.4321,0,0,0.0916207260985982,-0.059905566485234,4.51627339636093,0.029037360902797488,0.05052991428779367
9643,437.0,13.0,14.149,16.877399,0,0,0.7417727707041752,-0.3265344073385336,4.626667454998914,0.02058227047895094,0.05052991428779367
9651,378.0,14.0,1.151,1.6507,0,0,0.032537801663933934,-0.026788902382558773,4.325337228479709,0.03510536991794821,0.07266164394261859
9656,270.0,14.0,0.0,13.7389,0,0,0.08054396071144147,-0.05318105418062677,4.682557062369447,0.035335184630837915,0.07266164394261859
9668,378.0,15.0,0.381,1.8066,0,1,0.02389379447172792,-0.017689315710270024,4.2547328902663715,0.03362850899568896,0.03526992407433525
9678,270.0,15.0,0.0,11.3035,0,1,0.11488318430920103,-0.10410286089116307,4.673725628483597,0.04283616303922218,0.03526992407433525
9679,378.0,16.0,0.0,2.0892,0,0,0.022701446919844607,-0.01944366654192784,4.160974644519864,0.03605767976620856,-0.13561477422516827
9688,270.0,16.0,0.0,10.2992,0,0,0.08707994810035093,-0.09336233505159759,4.611976967201013,0.05471544928925305,-0.13561477422516827
9696,270.0,17.0,0.0,10.3937,0,0,0.08650152225718089,-0.10566198825977907,4.540044826027629,0.05111044204661367,0.09924605487088099
9698,411.0,17.0,0.0,26.6754,0,0,0.890197831209016,-0.21083009457087018,4.793771980739196,0.015268939525056265,0.09924605487088099
9708,378.0,17.0,0.0,1.8602,0,0,0.02439993277413638,-0.01367212266844309,4.143896341051349,0.0283693576192823,0.09924605487088099
9713,411.0,18.0,0.0,26.9695,0,0,0.29177239674420435,-0.14326203297918527,4.804651993184397,0.03288131758023821,0.0024841425082410534
9720,270.0,18.0,0.0,10.1284,0,0,0.09113263726853488,-0.10180123995744525,4.691678102929644,0.055035099354834124,0.0024841425082410534
9725,378.0,18.0,0.0,1.7039,0,0,0.023549561121815457,-0.016625198080589394,4.125423244459364,0.0302940145992635,0.0024841425082410534
9731,270.0,19.0,0.0,11.2725,0,0,0.07769896995402217,-0.08937518619830458,4.707446951773006,0.05110978531259718,0.18675995606098883
