id,year,assets,debt,earnings,cashflow,sales,mv,ad,rd,threat,fv,rec1,rec2,mkt,sector
2540,2013,500.944,0,66.485,19.656,2221.638,651.07001,18.018999,0,2.1868,.78790045,0,0,208.496,4
3005,2013,58.916,12.005,.654,-1.433,33.067,127.07068,.639,7.6939998,3.2797,2.3675177,0,0,16.028,5
2626,2013,585.522,138.582,31.48,41.576,254.774,911.57806,.60000002,32.973999,1.0812,1.3143777,0,0,84.086998,6
3005,2014,93.77,6.622,4.874,3.204,43.924,142.55682,.88200003,8.1590004,4.71,1.3502381,0,0,19.097,5
2626,2014,700.343,148.795,37.948,52.221,300.585,1121.3119,1,39.724998,1.0994,1.5674075,0,0,99.861,6
903,2014,578.16,45.056,91.20099999999999,70.29900000000001,716.18,941.42719,4.5999999,4.8000002,1,1.4316404,0,0,152.468,2
2540,2014,539.96,0,79.54600000000001,35.398,2463.339,646.72064,15.767,0,2.3225999,.65425521,0,0,228.076,4
2626,2015,688.484,159.76,44.259,62.7,330.889,1059.7001,1.3,47.185001,1.1525,1.5928636,0,0,109.808,6
2540,2015,639.074,0,87.515,30.862,2573.973,599.91473,15.689,0,2.2751,.42102593,0,0,237.815,4
3005,2015,48.64,.086,.845,-1.9,41.554,81.365463,.94999999,9.1630001,4.1367002,1.3972751,0,0,20.108999,5
903,2015,660.341,103.031,99.545,64.039,772.1420000000001,1011.1945,5,4.0999999,1,1.389607,0,0,156.737,2
3005,2016,38.651,0,-7.914,-5.478,26.338,52.002625,.95499998,9.5179996,3.9479001,1.1623147,0,0,17.148001,5
2540,2016,686.134,0,94.379,33.586,2692.592,747.44684,16.083,0,2.3499,.60998261,0,0,260.69501,4
2626,2016,652.8869999999999,171.534,40.507,67.157,343.274,813.18811,2.5999999,47.355,1.0276999,1.3482319,0,0,119.48,6
903,2016,690.457,92.114,99.75700000000001,80.324,751.586,1047.2526,4.3000002,4.9000001,1.017,1.3290105,0,0,161.019,2
3005,2017,32.131,5.146,-7.442,-7.337,28.102,56.849442,.99000001,9.3269997,3.1034,1.6450294,0,0,17.389999,5
2540,2017,747.851,0,93.002,19.32,2911.883,703.81714,14.437,0,2.2825,.44893587,0,0,274.63699,4
2626,2017,617.439,0,35.657,60.975,349.412,961.91064,2.5999999,53.001999,1.0577,1.7010663,0,0,119.06,6
903,2017,867.676,191.976,101.478,63.439,755.258,1148.5341,5.0999999,5.5,1.0262001,1.313382,0,0,163.46001,2
2626,2018,635.968,150,53.229,76.02800000000001,394.096,1944.7653,2,57.310001,1.0597,3.1281579,0,0,129.37599,6
